EAN;CODIGO;DESCRICAO
7891317427542;9049;LOSARTANA POTAS EUR 50MG C/30 CP.
;9050;LOSARTANA POTASSICA 50MG CX 30 COMP
;9051;LOSARTANA POTASSICA 50MG CX 30 COMP
;9052;LOSARTANA POTASSICA 50MG CX 30 COMP
7896422507738;9053;LOSARTANA POTAS MED 50MG C/30 CP
;9054;LOSARTANA POTAS MED 50MG C/60 CP
;9055;LOSARTANA POTAS BRF 50MG C/28 CP
7896004713915;9056;LOSARTANA+HCTZ EMS 100/25MG 30CP 10569
;9057;LOSARTANA POTASSICA+HIDROCLOROTIAZIDA 10
;9058;LOSARTANA+HCTZ GMD 100/25MG 30CP
7896004713922;9059;LOSARTANA+HCTZ EMS 50/12,5MG 30C 10570
7896004713908;9060;LOSARTANA+HCTZ GMD 50/12,5MG 30
;9061;LOSARTANA/HCT G  50/12,5MG 30CPDS LEGRAND
;9062;LOSARTEC 25MG C/10COMP
;9063;LOSARTEC 25MG C/30 COMP
;9064;LOSARTEC 50MG C/10 COMP
;9065;LOSARTEC 50MG C/30 COMP
;9066;LOSARTION 50MG C/30 COMP
;9067;LOSEC 40MG INJ CX 25 AMP
;9068;LOSEC INFUSAO 40MG CX 5 AMP
4260747720746;9069;LOSEC MUPS 10MG C/14 COMP
7896206401351;9069;LOSEC MUPS 10MG C/14 COMP
7896206401368;9070;LOSEC MUPS 20MG C/14 COMP
4260747720739;9070;LOSEC MUPS 20MG C/14 COMP
;9071;LOSEC MUPS 20MG C/07 COMP
;9072;LOSEC MUPS 40MG C/07 COMP
;9073;LOSORPAK 30/500/500MG CX 56 CAP/COMP
;9074;LOSORPAK 30/500/500MG CX 80 CAP/COMP
;9075;LOSORPAK IBP 30/500/500MG CX 70 CAP/COMP
7896181907497;9076;LOTAR 2,5/50MG C/30 COMP
7896181908890;9077;LOTAR 5/100MG C/30 COMP
;9078;LOTENSIN 10MG C/14 COMP
;9079;LOTENSIN 10MG C/30 COMP
;9080;LOTENSIN 10MG FR 60 COMP
;9081;LOTENSIN 5MG FR 14 COMP
;9082;LOTENSIN 5MG C/30 COMP
;9083;LOTENSIN 5MG FR 60 COMP
;9084;LOTENSIN H 10/12,5MG C/30 COMP
;9085;LOTENSIN H 5/6,25MG C/30 COMP
7896046300104;9086;LOTEPROL FR GTS 5ML
;9087;LOVACOR 10MG CX 30 COMP
;9088;LOVASTATINA SAN 10MG C/30 COMP
;9089;LOVASTATINA 10MG CX 30 COMP
;9090;LOVASTATINA 10MG CX 30 COMP
;9091;LOVASTATINA 10MG CX 30 COMP
;9092;LOVASTATINA 20MG CX 10 COMP
;9093;LOVASTATINA 20MG CX 10 COMP
;9094;LOVASTATINA 20MG CX 10 COMP
;9095;LOVASTATINA 20MG CX 28 COMP
;9096;LOVASTATINA 20MG CX 30 COMP
;9097;LOVASTATINA 20MG CX 30 COMP
;9098;LOVASTATINA 20MG CX 30 COMP
;9099;LOVASTATINA 20MG CX 30 COMP
;9100;LOVASTATINA 20MG CX 30 COMP
;9101;LOVASTATINA 20MG CX 30 COMP
;9102;LOVASTATINA SAN 20MG C/30 COMP
;9103;LOVASTATINA 40MG CX 10 COMP
;9104;LOVASTATINA 40MG CX 10 COMP
;9105;LOVASTATINA 40MG CX 10 COMP
;9106;LOVASTATINA SAN 40MG C/10 COMP
;9107;LOVASTEROL 20MG CX 30 COMP
;9108;LOVATON 20MG CX 10 COMP
;9109;LOVATON 20MG CX 30 COMP
;9110;LOVAX 10MG CX 30 COMP
;9111;LOVAX 20MG CX 30 COMP
;9112;LOVELLE C/21 COMP
;9113;LOXAM 7,5MG FR 10 COMP
;9114;LOXIFLAN 15MG CX 10 COMP
;9115;LOXIFLAN 7,5MG CX 10 COMP
;9116;LOXONIN 60MG C/15 COMP
;9117;LOXONIN 60MG C/30 COMP
;9118;LOZAN 2% CREME BG 30G
;9119;LOZAN 200MG CX 10 COMP
;9120;LOZAN 200MG CX 30 COMP
;9121;LOZAN SHAMPOO FR 100ML
;9122;LOZIL 900MG CX 12 COMP
;9123;LOZIX 20MG CX 28 CAP
;9124;LUCRETIN PO C/20 ENV 4G
;9125;LUCRETIN SAB INF 200ML
;9126;SABONETE INTIMO LUCRETIN NEUTRO 200ML
;9127;LUDIOMIL 25MG C/20 COMP       C1
;9128;LUDIOMIL 25MG INJ 5AMP X 5ML
;9129;LUDIOMIL 75MG C/20 COMP       C1
7896016801501;9130;LUFTAL C/20 COMP
7896016804939;9131;LUFTAL MAX 125MG CX 10 CAP
;9132;LUFTAL MAX 125MG CX 10 COMP MAST
7896016804915;9133;LUFTAL GTS 15ML
;9134;LUFTCONA CX 20 COMP
;9135;LUFTCONA SOL GTS 15ML
;9136;LUFTRIN 40MG CX 20 COMP
;9137;LUFTRIN 75MG SUS ORAL 10ML
7897316804179;9138;LUMIGAN SOL OFT 3ML
;9139;LUPAREN 50MG CX 20 DRG
;9140;LUPAREN 75MG CX 50 AMP X 3ML
;9141;LUPECTRIM CX 20 COMP
;9142;LUPECTRIM SUS FR 100ML
;9143;LUPRON 5MG CX 1FA X 2,8ML
;9144;LUPRON DEPOT 11,25MG INJ CX 1FA+DIL+SER
;9145;LUPRON DEPOT 22,5MG INJ 1FA+DIL+SER+2AG
;9146;LUPRON DEPOT 3,75MG INJ CX 1FA+DIL 2ML
;9147;LUPRON DEPOT 7,5MG INJ CX 1FA+DIL
;9148;LURANTAL 20MG CX 30 CAP
;9149;LUTAMIDAL 150MG CX 28 COMP
;9150;LUTAMIDAL 50MG CX 28 COMP
;9151;LUTENIL 5MG CX 10 COMP
;9152;LUTENIL 5MG C/14 COMP
;9153;LUVERIS 75UI INJ CX 1FA+DIL
;9154;LUVOX 100MG CX 15 COMP
;9155;LUVOX 100MG CX 30 COMP
;9156;LYCOGASTRIN SOL FR 20ML
;9157;LYMIUM CX 30 COMP
;9158;VAPORIZADOR NS UMIDIF VAP BCO 5 LTS
;9159;MAALOX MENTA C/30 COMP
;9160;FITA ADESIVA 12X40 POLISIL ADELBRAS
;9161;PASTA POLIONDA ESCOLAR 35MM C/10
;9162;MAZA ESM INF VERMELHO MASSEY 3,6L
;9163;PASTA CATÁLOGO ACP C30
7908363800172;9164;APONTADOR (USO/CONSUMO)
9164;9164;APONTADOR (USO/CONSUMO)
;9165;MAALOX PLUS CEREJA 240ML
;9166;GRAMPEADOR CARBEX M 527 PRETO
;9167;MAALOX PLUS MENTA 240ML
;9168;MABTHERA 100MG CX 2FA X 10ML
;9169;MABTHERA 500MG CX 1FA X 50ML
;9170;MAC AZI 1200MG CX 4 COMP
;9171;MAC AZI 600MG CX 8 COMP
7891142165770;9172;MACRODANTINA 100MG C/28 COMP
;9173;MACROZOL 10MG FR 14 CAP
;9174;MACROZOL 20MG FR 14 CAP
;9175;MACROZOL 20MG FR 28 CAP
;9176;MACROZOL 20MG FR 7 CAP
;9177;MACROZOL 40MG FR 7 CAP
7891045035040;9178;MAGNESIA BISURADA C/40 PAST
7895858017293;9178;MAGNESIA BISURADA C/40 PAST
7895858017439;9178;MAGNESIA BISURADA C/40 PAST
;9179;MAGNOPYROL 300MG PED C/5 SUP
;9180;MAGNOPYROL 500MG 25X8 COMP
;9181;GRAMPO GALV 26/6 CONDA C/5000
7897322701486;9182;MAGNOPYROL GTS 10ML
7897322701493;9183;MAGNOPYROL GTS 20ML
;9184;MAGNOPYROL SOL ORAL 100ML
;9185;MAGNOSTASE 2MG CX 12 COMP
;9186;MAGNOSTON 10% CX 100 AMP X 10ML
;9187;MAGNOSTON 50% CX 100 AMP X 10ML
;9188;MAGRIX 500MG C/60 COMP
;9189;MAG-TAB 130MG CX 15 COMP
;9190;MAG-TAB 130MG CX 30 COMP
;9191;MALE DEXCLORFENIRAMINA MED 120ML
;9192;MALE DEXCLORFERINAMINA MER 120ML
;9193;MAL DEXCLORFENIRAMINA 0,4MG XPE FR 100ML
;9194;MALE DEXCLORFENIRAMINA BRF 120ML
;9195;MAL DEXCLORFENIRAMINA 0,4MG/ML SOL CX 50
;9196;MAL DEXCLORFENIRAMINA 0,4MG/ML SOL CX 50
;9197;MAL DEXCLORFENIRAMINA 0,4MG/ML SOL FR 12
;9198;MAL DEXCLORFENIRAMINA 0,4MG/ML SOL OR 50
;9199;MAL DEXCLORFENIRAMINA 0,4MG/ML SOL OR 50
;9200;MAL DEXCLORFENIRAMINA 0,4MG/ML SOL OR FR
7896004711461;9201;MAL DEXCLORFENIRAMINA 2MG CX 20 COMP
7896004711287;9202;MALE. DEXCLORFENIRAMINA EMS 20CP 10439
;9203;MALE DEXCLORFENIRAMINA BRF 20CP
;9204;MAL DEXCLORFENIRAMINA 2MG CX 20 COMP
;9205;MAL DEXCLORFENIRAMINA 2MG SOL ORAL FR 12
7896714203645;9206;MAL DEXCLORFENIRAMINA 2MG XPE FR 120ML
;9207;MALE DEXCLORFENIRAMINA CRI 120ML
;9208;MAL DEXCLORFENIRAMINA SOL ORAL FR 120ML
7896004704999;9209;MALE DEXCLORFENIRAMINA EMS 120ML 10220
;9210;MAL DEXCLORFENIRAMINA SOL ORAL FR 120ML
;9211;MAL DEXCLORFENIRAMINA+BETAMETASONA 0,05+
;9212;MAL DEXCLORFENIRAMINA+BETAMETASONA 0,05+
;9213;MAL DEXCLORFENIRAMINA+BETAMETASONA 0,4+0
7896004716251;9214;MALE DEXC+BETAMET GMD XPE 120ML
;9215;MALE DEXCL+BETAMET UNQ XPE 120ML
;9216;MAL DEXCLORFENIRAMINA+BETAMETASONA RATIOP
;9217;MAL DEXCLORFENIRAMINA+BETAMETASONA 0,4+0
;9218;MALE DEXC+BETAMET BRF XPE 120ML
;9219;MALE DEXC+BETAMET MED XPE 120ML
;9220;MAL DEXCLORFENIRAMINA+BETAMETASONA 0,4+0
;9221;MAL DEXCLORFENIRAMINA+BETAMETASONA 0,4+0
;9222;MALE DEXC+BETAMET MER XPE 120ML
7896523207988;9223;MAL DEXCLORFENIRAMINA+BETAMETASONA 0,4MG
;9224;MAL DEXCLORFENIRAMINA+BETAMETASONA 2+0,2
7896004711485;9225;DEXCLORFENIRAMINA+BETAMETASONA 20CPR EMS
;9226;MAL DEXCLORFENIRAMINA+BETAMETASONA 2+0,2
;9227;MAL DEXCLORFENIRAMINA+BETAMETASONA 2+0,5
7896004704623;9228;MALE DEXC+BETAMET EMS XPE 120ML 10198
;9229;MALE DEXC+BETAMET EUR XPE 120ML
;9230;MALE DEXC+BETAMET CRI XPE 120ML
;9231;MALE DEXC+PSEUD+GUAIF MED 120ML
;9232;MAL DEXCLORFENIRAMINA+PSEUDOEDEDRINA+GUA
7894916141161;9233;MAL DEXCLORFENIRAMINA+PSEUDOEDEDRINA+GUA
;9234;MAL DEXCLORFENIRAMINA+PSEUDOEDEDRINA+GUA
;9235;MALEAPRIL 10MG CX 30 COMP
;9236;MALEAPRIL 20MG CX 30 COMP
;9237;MALEAPRIL 5MG CX 30 COMP
;9238;MALEATO DE ENALAPRIL 10MG CX 10 COMP
;9239;MALEATO DE ENALAPRIL 10MG CX 28 COMP
;9240;MALEATO DE ENALAPRIL 10MG CX 30 CAP
;9241;MALEATO DE ENALAPRIL 10MG CX 30 COMP
;9242;MALEATO DE ENALAPRIL 10MG CX 30 COMP
;9243;MALE ENALAPRIL SAN 10MG C/30 CP
;9244;MALEATO DE ENALAPRIL 10MG CX 30 COMP
;9245;MALE ENALAPRIL MED 10MG C/30COMP
;9246;(POP) MALEATO DE ENALAPRIL 10MG 30CPR NEO QUIMICA
7896004700533;9247;MALE ENALAPRIL EMS 10MG 30 COMP 11026
;9248;MALE ENALAPRIL BIO 10MG 30 CAPS
;9249;MALEATO DE ENALAPRIL 10MG CX 30 COMP
7896004710358;9250;MALE ENALAPRIL GMD 10MG C/30CP GERMED
;9251;MALEATO DE ENALAPRIL 20MG CX 28 COMP
;9252;MALEATO DE ENALAPRIL 20MG CX 30 CAP
7896004710365;9253;MALE ENALAPRIL GMD 20MG C/30COMP
;9254;MALE ENALAPRIL MED 20MG C/30COMP
;9255;MALEATO DE ENALAPRIL 20MG CX 30 COMP
;9256;MALEATO DE ENALAPRIL 20MG CX 30 COMP
;9257;MALEATO DE ENALAPRIL 20MG CX 30 COMP NEO QUIMICA
;9258;MALEATO DE ENALAPRIL 20MG CX 30 COMP
;9259;MALE ENALAPRIL BIO 20MG 30 CAPS
7896112126270;9260;MALEATO DE ENALAPRIL 20MG CX 30 COMP
7896112113799;9260;MALEATO DE ENALAPRIL 20MG CX 30 COMP
;9261;MALE ENALAPRIL SAN 20MG C/30 CP
7896004700540;9262;MALE ENALAPRIL EMS 20MG 30 COMP 11028
;9263;MALEATO DE ENALAPRIL 5MG CX 30 CAP
;9264;MALEATO DE ENALAPRIL 5MG CX 30 COMP
;9265;MALE ENALAPRIL BIO 5MG C/30 CAPS
;9266;MALE ENALAPRIL BRF 5MG C/30 COMP
;9267;MALEATO DE ENALAPRIL 5MG CX 30 COMP
;9268;MALE ENALAPRIL SAN 5MG C/30 COMP
;9269;MALEATO DE ENALAPRIL 5MG CX 30 COMP
;9270;MALE ENALAPRIL MED 5MG C/30 COMP
;9271;MALEATO DE ENALAPRIL 5MG CX 30 COMP
;9272;MALEATO DE ENALAPRIL 5MG CX 30 COMP
7896004700526;9273;MALE ENALAPRIL EMS 5MG 30 COMP 11029
7896004710341;9274;MALEATO DE ENALAPRIL 5MG CX 30 COMP
;9275;MALE ENALA+HCTZ MER 10/25MG 30CP
;9276;MALEATO DE ENALAPRIL+HIDROCLOROTIAZIDA 1
;9277;MALEATO DE ENALAPRIL+HIDROCLOROTIAZIDA 1
;9278;MALE ENALA+HCTZ EMS 10/25MG 30CP 10398
;9279;MALEATO DE ENALAPRIL+HIDROCLOROTIAZIDA 1
;9280;MALE ENALA+HCTZ MED 10/25MG 30CP
;9281;MALEATO DE ENALAPRIL+HIDROCLOROTIAZIDA 2
;9282;MALEATO DE ENALAPRIL+HIDROCLOROTIAZIDA 2
;9283;MALE ENALA+HCTZ MED 20/12,5MG 30
;9284;MALE ENAL+HCTZ BIO 20/12,5MG 30C
;9285;MALEATO DE ENALAPRIL+HIDROCLOROTIAZIDA 2
7896004709956;9286;MALE ENALA+HCTZ EMS 20/12,5MG 30 10396
;9287;MALE ENALA+HCTZ MER20/12,5MG 30C
;9288;MALE MIDAZOLAM EUR 15MG 20CP  B1
;9289;MALEATO DE MIDAZOLAM 15MG CX 20 COMP
;9290;MALEATO DE MIDAZOLAM 15MG CX 30 COMP
;9291;MALE MIDAZOLAM EUR 15MG 30CP  B1
;9292;MALEATO DE TIMOLOL 0,25% SOL OFT FR 5ML
;9293;MALEATO DE TIMOLOL 0,25% SOL OFT FR 5ML
;9294;MALEATO DE TIMOLOL 0,25% SOL OFT FR 5ML 10552
;9295;MALE TIMOLOL ALE 0,25% COL 5ML
;9296;MALE TIMOLOL ALE 0,5% COL 10ML
;9297;MALE TIMOLOL FAL 0,5% COL 5ML
;9298;MALE TIMOLOL BIO 0,5% COL 5ML
7896004715711;9299;(POP) MALE TIMOLOL EMS 0,5% COL 5ML 10552
;9300;MALEATO DE TIMOLOL 0,5% SOL OFT FR 5ML
7896676406436;9301;MALE TIMOLOL CRI 0,5% COL 5ML
7896004715896;9302;MALE TIMOLOL GMD 0,5% COL 5ML
;9303;MALE TIMOLOL ALE 0,5% COL 5ML
7896181909439;9304;MALE TIMOLOL BIO 0,25% COL 5ML
;9305;MALEATO DE TIMOLOL 0.5% SOL OFT FR 5ML
;9306;MALENA HCT 10/25MG C/30 COMP
7894916503747;9307;MALENA HCT 20/12,5MG C/30 COMP
;9308;MALIASIN 100MG CX 20 COMP
;9309;MALTENS CX 30 COMP
;9310;MALU C/21 COMP
7896672202308;9311;MANIVASC 10MG C/14 COMP
7896672202346;9312;MANIVASC 10MG C/28 COMP
7896672202155;9313;MANIVASC 20MG C/14 COMP
7896672202353;9314;MANIVASC 20MG C/28 COMP
;9315;MANSIL 250MG CX 6 CAP
;9316;MANSIL XPE FR 12ML
7891317000714;9317;MANTIDAN 100MG C/20 COMP      C1
7899640807222;9317;MANTIDAN 100MG C/20 COMP      C1
;9318;MARACUGINA CX 45 DRG
;9319;MARACUGINA LIQ 150ML
;9320;MARAX C/20 COMP              D1
;9321;MARAX XPE FR 120ML
;9322;MARCAINA 0,5% PESADA CX 20AMP X 4ML
;9323;MARCAINA 0,50% C-EPIN CX 6 FA X 20ML
;9324;MARCAINA 0,50% S-VASO CX 6 FA X 20ML
;9325;MARCAINA 0,75% S-VASO CX 5 FA X 10ML
;9326;MARCOUMAR 3MG CX 30 COMP
;9327;MARCOUMAR C/25 COMP
7898040320911;9328;MAREVAN 5MG CX 10 COMP
7898040320928;9329;MAREVAN 5MG C/30 COMP     NOVO
7898040321291;9330;MAREVAN 7,5MG C/30 COMP
;9331;MARFARIM 5MG CX 10 COMP
7896714273006;9332;MASSAGEOL  (AEROSSOL) 120ML
7896714230504;9333;MASSAGEOL BG 30G
7896714230054;9334;MASSAGEOL POM BG 15G
;9335;MATERFOLIC 5MG C/30 COMP
;9336;MATERGAM 300+200MCG CX 1AMP X 1,5ML
;9337;INAT.MATERNA FR 30 COMP
;9338;MATERSUPRE FR 30 DRG
;9339;MATERVIT C/30 COMP
;9340;MATRICARIA F. DUTRA CX 5 SACHETS
7897337702089;9341;MAXALT 10MG C/2 COMP
;9342;MAXALT RPD 10MG C/2 DISK
;9343;MAXALT 5MG CX 2 COMP
;9344;MAXAQUIN 400MG CX 3 COMP
;9345;MAXAQUIN 400MG CX 7 COMP
;9346;MAXCEF 1G INJ CX 1FA+DIL
;9347;MAXCEF 1G INJ KIT 10 FA+10 BOLSAS
;9348;MAXCEF 2G INJ CX 1FA S/DIL
;9349;MAXCEF 2G INJ KIT 10 FA+10 BOLSAS
;9350;MAXCEF 500MG INJ CX 1FA+DIL
7896180300053;9351;MAXIBELL COL 10ML
7896676433104;9351;MAXIBELL COL 10ML
;9352;MAXICALC 500MG X 60 COMP
;9353;MAXICALC D-200 500MG+200UI CX 60 COMP
;9354;MAXICALC D-400 500MG+400UI CX 60 COMP
;9355;MAXICRON SOL OFT 2% 5ML
;9356;MAXICRON SOL OFT 4% 5ML
7896548111802;9357;MAXIDEX PDA OFT 3,5G
7896548198292;9357;MAXIDEX PDA OFT 3,5G
7896548111727;9358;MAXIDEX SOL OFT 5ML
;9359;MAXIDRATE GEL SOL NASAL 30G
;9360;MAXIDRIN 500MG  CX 12 COMP
;9361;MAXIDRIN 500MG C/4 COMP
;9362;MAXIFEN 40MG SUS ORAL FR 15ML
7896180300541;9363;MAXIFLOX PM OFTAL 3,5G
7896676434309;9363;MAXIFLOX PM OFTAL 3,5G
7896180300145;9364;MAXIFLOX COL 5ML
7896676433142;9364;MAXIFLOX COL 5ML
7896676432824;9365;MAXIFLOX-D PM OFTAL 3,5G
7896180300558;9365;MAXIFLOX-D PM OFTAL 3,5G
7896180300152;9366;MAXIFLOX-D COL 5ML
7896676432800;9366;MAXIFLOX-D COL 5ML
;9367;MAXIL 1G CX 1FA
;9368;MAXIL 2G CX 1FA
;9369;MAXIL 500MG CX 1FA
7896180300244;9370;MAXILERG 0,1% COL 5ML
7896676433128;9370;MAXILERG 0,1% COL 5ML
;9371;MAXILIV 500MG CX 20 COMP
;9372;MAXILIV 500MG GTS C/20ML
7896548198285;9373;MAXITROL PDA 3,5G
7896548112069;9373;MAXITROL PDA 3,5G
7896548111987;9374;MAXITROL SOL OFT 5ML
;9375;MAX PAX 2MG C/20 COMP      B1 UQ
7897322701738;9376;MAXSULID 400MG C/10 COMP
;9377;(POP) MAZITRON 500MG C/3 CAPS UQ
;9378;MEBENDAL SUS FR 30ML
;9379;MEBENDAZOL 100MG CX 300 CAP HOSP
;9380;MEBENDAZOL 100MG CX 6 CAP
;9381;MEBENDAZOL 100MG CX 6 COMP
;9382;MEBENDAZOL ABT 100MG C/6 COMP
;9383;MEBENDAZOL 100MG CX 6 COMP
;9384;MEBENDAZOL 100MG CX 6 COMP
;9385;MEBENDAZOL 100MG CX 6 COMP
;9386;MEBENDAZOL EMS 100MG C/6 COMP 10099
;9387;MEBENDAZOL 100MG INC X 6
;9388;MEBENDAZOL 100MG SUS FR 30ML
;9389;MEBENDAZOL 100MG SUS FR 30ML
;9390;MEBENDAZOL 100MG SUS FR 30ML
;9391;MEBENDAZOL 100MG SUS ORAL FR 30ML
;9392;MEBENDAZOL 100MG/5ML SUS ORAL FR 30ML
;9393;MEBENDAZOL 20MG SUS OR FR VD 30ML
;9394;MEBENDAZOL ABT 20MG SUSP 30ML
;9395;MEBENDAZOL MED 20MG SUSP 30ML
;9396;MEBENDAZOL 20MG/ML SUS OR 200 FR X 30ML
;9397;MEBENDAZOL 20MG/ML SUS OR 200FR X 30ML H
;9398;MEBENDAZOL 20MG/ML SUS OR FR 30ML
;9399;MEBENDAZOL EMS 20MG SUSP 30ML 10100
;9400;MEBENDAZOL+TIABENDAZOL 20+33,2MG/ML SUS
;9401;MEBENDAZOL+TIABENDAZOL 200+332MG 6 COMP
;9402;MEBENDAZOL+TIABENDAZOL 200+332MG CX 6 CO
;9403;MEBENDAZOL+TIABENDAZOL 200+332MG CX 6 CO
;9404;MEBENDAZOL+TIABENDAZOL EMS C/6CP
;9405;MEBENDAZOLIN 100MG CX 6 COMP
;9406;MEBENDAZOLIN SUS ORAL 30ML
;9407;MEBENIX 200MG CX 2 COMP
;9408;MEBENIX 400MG 1 COMP MAST
;9409;MEBENIX 40MG SUS FR 10ML
;9410;MEBENTAL 100MG CX 6 COMP
;9411;MEBENTAL SUS FR 30ML
;9412;MEBIOZOL 100MG CX 6 COMP
;9413;MEBIOZOL 100MG FR 30ML
;9414;MEBRON CX 20 COMP
7896637023115;9415;MECLIN 25MG C/15 COMP
7896637023641;9416;MECLIN 50MG C/15 COMP
;9417;MEDAZOL 100MG CX 6 COMP
;9418;MEDAZOL 2% SUS 30 ML
;9419;MEDGERON 25MG CX 30 COMP
;9420;MEDGERON 75MG CX 30 COMP
;9421;MEDPRESS 250MG CX 30 COMP
;9422;MEDPRESS 500MG CX 30 COMP
;9423;MEDROXITEST CX 5 COMP
;9424;MEDROXON 10MG CX 10 COMP
;9425;MEDTRIM 200MG SUS FR 100ML
;9426;MEDTRIM 400MG CX 20 COMP
;9427;MEDTRIM 400MG SUS FR 100ML
;9428;MEDTRIM 800MG CX 16 COMP
;9429;MEDXIL 250MG SUS ORAL FR 150ML
;9430;MEDXIL 250MG SUS ORAL FR 80ML
;9431;MEDXIL 500MG CX 12 CAP
;9432;MEDXIL 500MG CX 21 CAP
;9433;MEFENAN 500MG CX 20 COMP
;9434;MEFLOX 400MG CX 3 COMP
;9435;MEFLOX 400MG CX 7 COMP
;9436;MEDTONICO LIQ FR 400ML
;9437;MEGESTAT 160MG FR 30 COMP
;9438;MEGESTAT 40MG SUS FR 240ML
;9439;MEGUANIN 500MG CX 30 COMP
;9440;MEGUANIN 850MG CX 200 COMP
;9441;MEGUANIN 850MG CX 30 COMP
;9442;MEL C/PROPOLIS E AGRIAO POTE 300G
;9443;MEL C/PROPOLIS E ALHO POTE 300G
;9444;MEL C/PROPOLIS E EUCALIPTO POTE 300G
;9445;MEL C/PROPOLIS E GUACO POTE 300G
;9446;MEL C/PROPOLIS E LIMAO CRAVO POTE 300G
;9447;MEL C/PROPOLIS E ROMA POTE 300G
;9448;MEL C/PROPOLIS POTE 300G
;9449;MEL FLORADA EUCALIPTO POTE 300G
;9450;MEL FLORADA EUCALIPTO POTE 450G
;9451;MEL FLORADA EUCALIPTO POTE 750G
;9452;MEL FLORADA LARANJA POTE 300G
;9453;MEL FLORADA LARANJA POTE 450G
;9454;MEL FLORADA LARANJA POTE 750G
;9455;MEL FLORADA SILVESTRE POTE 300G
;9456;MEL FLORADA SILVESTRE POTE 450G
;9457;MEL FLORADA SILVESTRE POTE 750G
;9458;MEL PROPOLIS E GENGIBRE SPRAY FR 30ML
;9459;MEL PROPOLIS E MENTA SPRAY FR 30ML
;9460;MELAGENINA PLUS 500MG LOCAO FR 235ML
;9461;MELAGRIAO DISPLAY 120 PAST SB LIMAO S/AC
;9462;MELAGRIAO DISPLAY 120 PAST SB MARACUJA
;9463;MELAGRIAO DISPLAY 120 PAST SB MENTA
;9464;MELAGRIAO LIMAO 24X5 PAST S/ACUC
;9465;MELAGRIAO SACHE 5 PAST SB MARACUJA.
;9466;MELAGRIAO MENTA 24X5 PAST
78909700;9467;MELAGRIAO SPRAY FR 30ML
7896023719899;9468;MELAGRIAO XPE 150ML
;9469;MELAGRIL SOL FR 100ML
;9470;MELANI D CR 30ML
7896094904156;9471;MELHORAL AD 25X8 COMP (FRACIONADO)
7896094921146;9471;MELHORAL AD 25X8 COMP (FRACIONADO)
7891035621109;9472;REPELEX LC 100ML
;9473;MELHORAL C EFERV. 30X2COMP.
;9474;MELHORAL C 25X4 COMP
;9475;MELIBRAVO SOL FR 100ML
;9476;MELICALIPTUS SOL FR 100ML
;9477;MELIGUACO SOL FR 100ML
;9478;MELLERIL 100MG FR 20 DRG
7898168009224;9479;MELLERIL 10MG C/20 CP
7898168000467;9479;MELLERIL 10MG C/20 CP
;9480;MELLERIL 200MG FR 20 COMP RET
;9481;MELLERIL 25MG CX 20 DRG
;9482;MELLERIL 3% SOL ORAL FR 50ML
;9483;INAT.MELLERIL 50MG CX 20 DRG
;9484;MELOFLAN 7,5MG CX 10 COMP
;9485;MELOTEC 15MG CX 10 COMP
;9486;MELOXICAM 10MG INJ 5 AMP X 1,5ML
;9487;MELOXICAM 10MG INJ CX 5 AMP X 1,5ML
;9488;MELOXICAM BIO 15MG C/10 COMP
7891317029715;9489;MELOXICAM EUR 15MG C/10 COMP
7891317421854;9489;MELOXICAM EUR 15MG C/10 COMP
7896422505666;9490;MELOXICAM MED 15MG C/10 COMP
;9491;MELOXICAM GMD 15MG C/10 COMP
;9492;MELOXICAM 15MG CX 10 COMP
;9493;MELOXICAM 15MG CX 10 COMP
7895296282109;9494;MELOXICAM 15MG CX 10 COMP NOVA QUIMICA
;9495;MELOXICAM 15MG CX 10 COMP
;9496;MELOXICAM MER 15MG C/10 COMP
;9497;MELOXICAM 15MG CX 60 COMP
7896004710679;9498;MELOXICAM EMS 15MG C/10 COMP 10415
7891317424565;9499;MELOXICAM EUR 15MG/ML 5AMP 1,5ML
;9500;MELOXICAM 7,5MG CX 10 COMP
7895296282239;9501;MELOXICAM 7,5MG CX 10 COMP
7896422505659;9502;MELOXICAM 7,5MG 10 COMPRMIDOS
7891317421861;9503;MELOXICAM EUR 7,5MG C/10 COMP
;9504;MELOXICAM 7,5MG CX 10 COMP
7894916140690;9505;MELOXICAM 7,5MG CX 10 COMP
;9506;MELOXICAM BIO 7,5MG C/10 COMP
;9507;MELOXICAM MER 7,5MG C/10 COMP
;9508;MELOXICAM 7,5MG CX 10 COMP
7896004703510;9509;MELOXICAM EMS 7,5MG C/10 COMP 10153
;9510;MELOXIGRAN 15MG FR 10 COMP LEGRAND
;9511;MELOXIGRAN 7,5MG FR 10 COMP
;9512;MELOXIL 15MG C/10 COMP
;9513;MELOXIL 15MG INJ C/5AMP DE 1,5ML
;9514;MELOXIL 7,5MG CX 10 COMP
;9515;MELPAZ SOL GTS FR 15ML
;9516;MELXI SUS FR 100 ML
;9517;MEMORIOGLUTAN CX 50 DRG
;9518;MEMORIOL B-6 200 C/20 DRG
;9519;MENBEL 100MG CX 6 COMP
;9520;MENBEL 100MG SOL ORAL FR 30ML
;9521;MENCIRAX 20MG C/30 COMP
;9522;MENOCALM 40MG CX 30 COMP
;9523;MENOCIMED 40MG CX 30 COMP
;9524;MENOCIMED 80MG CX 30 COMP
;9525;MENOGON 75UI CX 5 AMP PO LIOF+DIL
;9526;MENOGON 75UI CX FA POLIOF+DIL
